,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
78,47,2,1:12.705,0,112.7,3:14.504,2020-11-10 12:13:14.504,Adam CARROLL,,,2,Panasonic Jaguar Racing,JAGUAR,,,,
79,47,3,1:09.543,2,117.9,4:24.047,2020-11-10 12:14:24.047,Adam CARROLL,,,2,Panasonic Jaguar Racing,JAGUAR,,,,
80,66,1,1:32.518,0,88.6,1:32.518,2020-11-10 12:11:32.518,Daniel ABT,0:00:07.230,,2,ABT Schaeffler Audi Sport,ABT,25.6667,53.8889,9.65606,279.0
81,66,2,1:17.320,0,106.0,2:49.838,2020-11-10 12:12:49.838,Daniel ABT,,,2,ABT Schaeffler Audi Sport,ABT,,,,
82,66,3,1:08.348,2,119.9,3:58.186,2020-11-10 12:13:58.186,Daniel ABT,,,2,ABT Schaeffler Audi Sport,ABT,,,,
83,8,1,3:16.494,0,41.7,3:16.494,2020-11-10 12:13:16.494,Nicolas PROST,0:01:48.977,,2,Renault e.dams,RENAULT,25.6667,53.8889,6.43738,240.0
84,8,2,1:16.873,0,106.6,4:33.367,2020-11-10 12:14:33.367,Nicolas PROST,,,2,Renault e.dams,RENAULT,,,,
85,8,3,1:08.465,2,119.7,5:41.832,2020-11-10 12:15:41.832,Nicolas PROST,,,2,Renault e.dams,RENAULT,25.6111,53.3333,8.04672,241.0
86,9,1,3:20.113,0,41.0,3:20.113,2020-11-10 12:13:20.113,Sébastien BUEMI,0:01:54.355,,2,Renault e.dams,RENAULT,25.6667,53.8889,6.43738,240.0
87,9,2,1:19.864,0,102.6,4:39.977,2020-11-10 12:14:39.977,Sébastien BUEMI,,,2,Renault e.dams,RENAULT,,,,
88,9,3,1:08.022,4,120.5,5:47.999,2020-11-10 12:15:47.999,Sébastien BUEMI,,,2,Renault e.dams,RENAULT,25.6111,53.3333,8.04672,241.0
89,11,1,1:32.995,0,88.1,1:32.995,2020-11-10 12:21:32.995,Lucas DI GRASSI,0:00:06.040,,3,ABT Schaeffler Audi Sport,ABT,25.8333,55.5556,3.21869,224.0
90,11,2,1:18.832,0,104.0,2:51.827,2020-11-10 12:22:51.827,Lucas DI GRASSI,,,3,ABT Schaeffler Audi Sport,ABT,,,,
91,11,3,1:08.223,2,120.2,4:00.050,2020-11-10 12:24:00.050,Lucas DI GRASSI,,,3,ABT Schaeffler Audi Sport,ABT,25.77775,55.2778,3.21869,241.5
